Reactor,T,pH,Inoculo,Actividad
4,-1,-1,-1,0.063
9,-1,-1,-1,0.095
14,-1,-1,-1,0.126
4,1,-1,-1,13.215
9,1,-1,-1,11.07
14,1,-1,-1,15.738
5,0,0,-1,11.354
11,0,0,-1,10.25
17,0,0,-1,9.935
5,-1,1,-1,5.362
10,-1,1,-1,2.807
15,-1,1,-1,2.723
1,1,1,-1,0.032
6,1,1,-1,0.063
11,1,1,-1,0.032
2,0,-1,0,12.552
8,0,-1,0,14.697
14,0,-1,0,11.345
3,-1,0,0,4.037
8,-1,0,0,3.722
13,-1,0,0,3.677
1,0,0,0,16.035
3,0,0,0,17.756
7,0,0,0,19.238
9,0,0,0,17.293
13,0,0,0,16.183
15,0,0,0,19.135
5,1,0,0,0.158
10,1,0,0,0.189
15,1,0,0,0.307
4,0,1,0,1.189
10,0,1,0,3.406
16,0,1,0,2.397
1,-1,-1,1,0.788
6,-1,-1,1,0.599
11,-1,-1,1,0.284
3,1,-1,1,7.664
8,1,-1,1,6.686
13,1,-1,1,4.371
6,0,0,1,0.944
12,0,0,1,1.293
18,0,0,1,1.189
2,-1,1,1,13.183
7,-1,1,1,14.949
12,-1,1,1,15.075
2,1,1,1,0.221
7,1,1,1,0.252
12,1,1,1,0.252
